Sailor,40,600
Block,30,500
Block,75,500
Block,207,550
Block,247,550
Block,287,550
Block,327,510
Block,327,460
Block,372,450
Block,412,450
Block,412,360
Block,412,270
Block,372,270
Block,332,270
Block,292,270
Block,252,270
Block,222,270
Block,200,340
Block,182,270
Block,142,270
Block,102,270
Block,102,180
Block,222,100
Block,262,100
Block,302,100
Block,342,100
Block,472,180
Block,420,650
Block,580,530
Block,620,530
Block,660,530
Block,700,530
Block,740,530
Block,780,530
Block,820,530
Block,740,620
Block,820,440
Block,820,350
Block,780,350
Block,740,350
Block,700,350
Block,680,260
Block,630,260
Block,580,190
Block,780,100
Block,820,260
Block,900,180
Block,960,340
Block,1000,530
Block,960,530
Pirate,203,410
Pirate,800,600
Pirate,560,250
Pirate,900,250
TopLeft,0,20
BottomRight,1000,640
